,0
hull,32
french,21
grenadier,3
alike,11
egypt,3
bearded,6
stiffly,4
spines,1
cologne,5
worn,11
pilgrim,2
worshipped,3
flag,18
stone,16
canterbury,1
cathedral,3
becket,1
bled,2
antiquities,2
features,11
pertaining,5
century,10
peleg,73
mate,77
retired,6
principal,4
term,10
mateship,1
built,7
grotesqueness,1
inlaid,3
quaintness,1
material,8
device,2
unmatched,1
thorkill,1
hake,1
buckler,2
apparelled,2
barbaric,11
ethiopian,2
emperor,6
pendants,1
trophies,2
tricking,1
herself,7
chased,14
enemies,1
unpanelled,1
garnished,2
continuous,5
pins,2
fasten,5
hempen,7
thews,2
tendons,4
sheaves,3
scorning,1
turnstile,1
wheel,5
reverend,5
sported,1
tiller,13
curiously,6
hereditary,7
foe,14
helmsman,11
steered,8
holds,7
steed,7
clutching,2
melancholy,8
candidate,3
nobody,2
overlook,2
tent,5
wigwam,8
temporary,11
erection,1
conical,1
shape,17
consisting,3
slabs,5
ends,19
laced,1
mutually,3
sloped,1
apex,2
loose,35
hairy,3
fibres,6
waved,5
pottowottamie,1
sachem,1
triangular,4
insider,1
forward,51
concealed,3
tenement,1
noon,19
enjoying,2
respite,2
oaken,5
carving,6
stout,13
interlacing,2
constructed,2
appearance,10
elderly,1
heavily,7
quaker,10
microscopic,2
net,5
minutest,3
arisen,2
sailings,1
gales,3
windward,22
causes,3
muscles,4
pursed,1
effectual,1
scowl,2
advancing,18
supposing,5
dost,20
wast,2
eh,19
damned,6
lingo,2
talkest,1
marchant,5
hast,28
didst,9
rob,1
murdering,3
officers,20
gettest,2
protested,1
innocence,4
mask,3
humorous,6
innuendoes,1
insulated,2
quakerish,1
distrustful,4
aliens,1
hailed,21
vineyard,7
clapped,4
ahab,506
bildad,77
agents,3
wantest,3
tellest,2
bind,2
clap,4
wilt,9
nearer,15
devoured,2
chewed,4
crunched,3
monstrousest,1
parmacetty,2
chipped,1
hearty,8
exclamation,5
peculiar,55
ferocity,4
accident,6
_sure_,1
aggravate,1
inclined,9
positively,1
indispensable,11
rid,4
experience,10
request,3
humorously,5
concentrating,2
crow,12
glancing,13
perceived,14
obliquely,8
unlimited,1
monotonous,1
forbidding,3
report,7
horizon,18
squall,20
staggered,3
expressed,5
willingness,1
mayest,1
below,49
transom,5
uncommon,16
largest,18
shares,3
ports,9
annuitants,1
fatherless,1
children,16
chancery,1
owning,2
value,5
timber,6
nail,10
vessels,25
yours,8
approved,1
stocks,4
originally,17
sect,2
inhabitants,4
retain,7
variously,3
anomalously,2
modified,5
alien,5
heterogeneous,1
quakers,3
sanguinary,1
fighting,5
instances,31
named,10
scripture,1
singularly,4
fashion,11
childhood,3
imbibing,1
dramatic,3
idiom,1
audacious,6
boundless,5
blend,4
unoutgrown,1
dashes,2
unworthy,4
scandinavian,2
poetical,2
greatly,6
natural,36
force,12
globular,4
brain,35
stillness,3
seclusion,2
watches,12
constellations,1
untraditionally,1
independently,1
virgin,11
voluntary,1
confiding,1
accidental,1
advantages,1
nation,5
pageant,1
detract,1
dramatically,1
birth,10
overruling,1
morbidness,3
tragically,1
ambition,3
greatness,2
disease,1
results,1
phase,1
cared,3
deemed,14
veriest,2
trifles,2
educated,1
according,26
strictest,2
quakerism,1
unclad,2
lovely,11
jot,6
altered,3
vest,4
immutableness,1
lack,2
consistency,1
refusing,1
scruples,1
invaders,1
illimitably,1
invaded,1
sworn,3
bloodshed,1
bodied,1
spilled,8
tuns,2
gore,3
contemplative,2
pious,10
reminiscence,2
sage,2
religion,7
practical,13
dividends,1
rising,31
drabbest,1
drab,5
shad,2
bellied,1
becoming,3
header,6
owner,6
career,4
retiring,3
active,7
goodly,2
dedicating,1
earned,3
income,2
incorrigible,1
task,10
categut,1
arriving,2
hospital,3
exhausted,5
hearted,12
swear,13
inordinate,3
quantity,10
cruel,8
unmitigated,1
clutch,5
hammer,30
marling,3
spike,3
indolence,1
idleness,3
exact,8
embodiment,3
utilitarian,2
superfluous,3
beard,5
chin,5
economical,2
nap,4
brimmed,2
tails,7
brim,3
beside,6
vesture,3
buttoned,2
spectacles,4
volume,13
studying,4
knowledge,12
habituated,1
profane,3
noticing,1
irreverence,1
inquiringly,1
wants,9
tone,6
_dost_,1
unconsciously,7
spelling,1
mumbling,5
audible,1
blusterer,1
sharply,3
pen,6
ink,1
willing,4
engage,2
aware,6
profits,3
_lays_,2
proportioned,1
importance,6
respective,4
duties,3
steer,9
splice,6
th,10
eventually,8
_long,2
lay_,2
lucky,8
clothing,3
beef,18
stiver,1
accumulate,1
princely,2
fortune,2
cloud,7
shouldered,2
generous,5
crony,1
proprietors,3
inconsiderable,3
management,6
stingy,1
fireside,4
vainly,6
mend,7
party,9
_lay_,4
yourselves,7
treasures,3
moth,3
knowest,6
sepulchral,2
reply,7
seven,14
seventy,22
rust,5
corrupt,6
magnitude,21
deceive,1
landsman,8
_teenth_,1
farthing,2
doubloons,7
swindle,1
treasure,2
hundredth,3
solemnly,8
owest,1
abundantly,2
reward,4
labors,2
bread,15
advice,6
lug,1
founder,2
steadily,11
impenitent,2
lest,7
leaky,6
sink,22
insult,12
fired,3
outrage,2
flames,16
goat,4
canting,1
gun,7
thundered,1
sliding,10
celerity,3
eluded,3
outburst,1
responsible,1
sailing,34
questionably,1
owned,5
temporarily,9
stepped,8
egress,2
vanish,1
withdrawing,8
letting,3
lamb,1
nervously,2
agitated,4
whew,3
whistled,1
leeward,29
sharpening,2
grindstone,2
bring,18
groaned,3
burying,2
whaled,1
signing,3
doubting,2
bethink,8
absorbing,2
irrevocably,2
committing,2
inquiring,5
able,9
isn,1
lt,1
ungodly,3
doesn,3
forewarned,1
colleges,1
mong,2
wonders,13
mightier,1
foes,6
keenest,3
surest,1
_he,2
ahab_,1
crowned,3
lick,2
significance,6
twas,4
foolish,17
whim,3
widowed,2
twelvemonth,3
squaw,2
tistig,2
gayhead,2
prophetic,1
fools,3
warn,3
swearing,4
bleeding,3
stump,12
accursed,10
laughing,4
bye,13
happens,12
resigned,2
girl,7
humanities,1
walked,6
thoughtfulness,1
incidentally,7
revealed,18
vagueness,1
painfulness,1
sympathy,2
sorrow,5
loss,9
describe,3
disincline,1
impatience,4
imperfectly,1
continue,5
choose,5
disturb,1
respect,15
religious,2
obligations,2
undervalue,1
ants,1
toad,1
stool,4
footmanism,1
unprecedented,3
planets,3
torso,1
deceased,1
possessions,1
rented,1
vastly,1
subjects,6
entertaining,1
absurd,3
notions,2
arguing,1
avail,2
presbyterians,1
mending,3
rituals,1
knocked,6
fastened,11
abundant,2
apoplectic,1
sinister,2
shaft,3
landlady,6
chamber,3
abroad,6
mistake,8
apoplexy,3
stubbornly,2
resisted,1
stated,4
maid,4
la,9
mouse,3
mistress,2
murder,10
mustard,2
vinegar,4
cruet,4
castors,2
pry,4
stroke,15
handed,10
interposed,2
castor,3
doctor,2
talking,6
prying,3
seized,18
rapid,12
clapping,4
ruminated,2
haven,7
closet,3
nate,1
ruin,4
betty,1
snarles,1
painter,3
suicides,1
permitted,5
birds,11
merciful,1
ghost,13
premises,3
spoiled,4
locksmith,1
mile,6
supplemental,2
unwithdrawn,1
vowing,1
dashed,22
knob,1
slamming,1
collected,5
squatting,1
hams,4
hain,1
sittin,1
pushing,6
change,8
intolerable,9
painfully,2
unnaturally,1
constrained,2
probability,6
eight,25
meals,6
_alive_,1
closing,2
blandishments,2
peg,2
creed,1
later,3
punctual,1
listening,4
plum,3
pudding,5
brig,3
confined,3
puddingers,1
eleven,2
termination,1
stirred,5
vexed,2
senseless,1
insane,3
starve,1
despairing,3
promised,3
ordinary,18
faintest,2
blown,5
uneasy,2
bedside,1
squatted,1
grating,3
cheerful,5
limped,2
objection,2
becomes,12
frantic,15
positive,3
torment,1
ours,4
argue,3
progress,4
primitive,3
religions,3
labored,1
lents,1
ramadans,2
ham,1
squattings,1
nonsense,4
health,6
useless,6
opposed,1
laws,7
hygiene,1
extremely,3
sagacious,6
pained,2
deplorably,1
argued,4
caves,1
necessarily,2
starved,1
religionists,1
hereafters,1
digressively,1
undigested,1
apple,4
dumpling,1
perpetuated,1
dyspepsias,1
nurtured,4
dyspepsia,4
expressing,2
memorable,2
occasion,9
enemy,5
cooked,6
eaten,3
inferences,1
hinting,5
custom,7
barbecue,1
yard,17
garden,5
victor,3
trenchers,1
pilau,1
breadfruit,1
parsley,1
mouths,9
compliments,2
presents,7
christmas,5
turkeys,1
remarks,2
impression,5
important,17
couch,1
simply,10
condescending,1
compassion,1
hopelessly,4
evangelical,2
piety,2
prodigiously,1
sorts,19
profit,4
picking,3
halibut,1
walking,9
gruff,1
loudly,7
announcing,5
converted,4
communion,1
member,9
congregational,3
worships,2
deacon,5
deuteronomy,4
meeting,11
rubbed,3
bandana,1
hasn,4
philistine,1
sternly,1
thyself,24
hittite,1
catholic,2
belong,11
crotchets,1
belief,4
_splice_,1
missionary,3
reckoned,1
quohog,9
handles,3
poising,2
cap,8
dere,2
spose,2
aim,3
glistening,7
hauling,4
spos,1
dad,1
retreated,4
hedgehog,1
ninetieth,2
enrolled,2
preliminaries,2
ceremonies,1
abashed,2
counterpart,3
obstinate,2
appellative,2
x,1
skirted,2
bundle,2
tracts,1
entitled,10
latter,15
lose,8
clingest,1
beseech,1
remain,23
belial,1
bondsman,1
spurn,1
dragon,5
gracious,5
lingered,5
heterogeneously,1
scriptural,1
domestic,10
phrases,1
spoiling,1
voyagers,1
straw,2
sharkish,3
nat,1
swaine,1
bravest,2
shrinked,1
sheered,1
claps,4
davy,2
jones,3
prate,1
beliest,1
typhoon,8
thrusting,10
thundering,3
rig,9
jury,2
buttoning,2
stalked,2
overlooking,2
sailmakers,1
pick,11
patch,1
tarred,2
twine,6
wasted,5
levelled,9
massive,5
forefinger,1
shabbily,1
faded,5
investing,2
confluent,3
pox,1
flowed,4
complicated,5
ribbed,7
torrent,2
dried,8
uninterrupted,2
rapidly,19
shoving,1
bayonet,2
signed,5
hav,5
n,6
chaps,5
fifth,7
wagon,1
s_,5
deficiencies,1
abruptly,2
somebody,5
riveted,5
earnestness,3
laughed,7
derisive,1
_tell_,1
hunter,19
growl,2
skrimmage,1
spaniard,3
altar,4
santa,2
spat,3
losing,4
prophecy,4
hows,1
mayhap,3
parmacetti,2
damaged,1
_all_,1
beggar,2
reverie,3
anyhow,2
arranged,1
ineffable,3
bless,9
bamboozle,1
fool,16
easiest,2
secret,24
elijah,15
commenting,1
agreed,2
humbug,3
bugbear,1
yards,25
chancing,4
distance,38
dogging,2
intent,14
imagine,4
coupled,3
ambiguous,3
shrouded,7
begat,3
kinds,3
wonderments,1
apprehensions,3
prediction,1
shadowy,1
satisfy,3
retraced,1
relieved,10
pronounced,5
astir,3
coils,10
betokened,4
preparations,2
hurrying,4
purchasing,1
providing,2
stores,2
chests,3
traps,2
resolving,1
equipped,1
beds,3
sauce,2
knives,10
forks,3
shovels,1
tongs,9
napkins,2
nut,4
crackers,1
housekeeping,2
necessitates,3
grocers,1
costermongers,1
doctors,4
bakers,1
bankers,1
extent,5
numerous,15
impossibility,1
replacing,3
harbors,5
frequented,5
exposed,5
success,5
depends,3
spars,12
everythings,1
duplicate,3
period,18
arrival,5
heaviest,2
storage,1
comprising,4
fuel,4
hoops,10
staves,3
odds,6
indefatigable,2
kindhearted,1
_she_,1
jar,3
pickles,1
steward,18
pantry,3
bunch,7
log,22
flannel,1
rheumatic,3
deserve,2
charity,9
aunt,4
bustle,2
yield,15
safety,7
comfort,7
consolation,1
score,9
startling,3
quakeress,2
ladle,2
longer,18
list,5
article,5
hobbling,2
whalebone,10
hatchways,2
riggers,3
preparation,3
expected,7
necessary,7
committed,1
absolute,4
dictator,2
suspects,3
involved,9
insensibly,2
strives,2
grey,19
imperfect,2
dawn,9
ahead,27
insinuating,1
uncertain,10
twilight,5
lookee,1
impertinent,2
wasn,5
wonderingly,1
oblige,2
prefer,2
detained,1
holloa,3
stationary,4
hailing,7
paces,2
stole,6
rejoined,3
wonderment,2
impudence,1
lumbered,1
slide,10
scuttle,22
rigger,3
tattered,1
profoundest,5
slumber,3
dubiously,1
alluded,6
optically,1
deceived,2
marking,4
jocularly,1
establish,3
perry,3
dood,2
hurt,2
heaving,15
grinding,1
questioning,2
absence,5
settees,1
sofas,2
chiefs,1
fattening,1
ottomans,1
comfortably,3
lazy,3
piers,1
alcoves,1
excursion,1
convertible,1
sticks,4
attendant,2
desiring,1
settee,1
marshy,2
narrating,2
flourished,3
brained,1
soothed,4
attracted,4
vapor,15
filling,5
breathed,2
muffledness,1
revolved,5
smokers,1
starbuck,198
lively,14
bestirred,3
actively,3
invisibly,2
enshrined,1
dismissal,1
hauled,9
thoughtful,1
gift,3
stubb,255
issued,8
muster,3
commanders,6
appearances,4
weigh,5
steering,13
recovered,4
farewell,4
commanding,5
sons,6
bachelors,1
marquee,1
capstan,12
handspikes,6
station,2
addition,2
licensed,1
pilots,2
fee,1
piloted,1
approaching,10
cheer,8
windlass,21
chorus,4
booble,1
alley,1
songs,1
watts,1
overseeing,2
ripped,1
frightful,3
handspike,2
comforting,1
poke,2
horrified,1
apparition,9
heave,17
sheep,5
backbone,2
whiskers,6
pants,2
imperturbable,2
drinking,5
merged,3
wintry,3
cased,2
armor,2
moonlight,7
tusks,4
elephant,19
curving,2
depended,2
lank,1
howled,5
cordage,3
rang,1
steady,27
notes,3
swelling,3
jews,1
jordan,1
sweetly,2
fruition,1
wet,11
wetter,1
store,4
meads,2
glades,3
eternally,7
vernal,2
shot,36
untrodden,1
unwilted,1
remains,24
midsummer,1
ranging,7
alongside,27
unpleasing,1
juncture,4
loath,4
depart,4
stormy,3
capes,1
invested,21
encounter,16
pitiless,2
brimful,1
strides,2
bounded,1
eastern,4
continents,3
coiling,7
pin,6
convulsively,3
grasped,6
lantern,12
gazing,23
heroically,1
tear,5
twinkling,1
ahoy,7
flask,108
murmured,12
incoherently,1
hunt,24
needlessly,1
cedar,5
per,2
cent,1
forget,11
cooper,6
waste,2
locker,4
miss,1
rejecting,2
gifts,1
tierce,5
beware,14
fornication,1
cheese,9
cents,2
pound,5
palavering,1
dropt,2
diverged,3
blew,7
screaming,6
hulls,5
blindly,7
lone,8
newlanded,1
mariner,14
encountered,16
vindictive,3
fearfulness,3
unrestingly,3
push,6
wonderfullest,1
unmentionable,1
memories,4
epitaphs,1
stoneless,1
fared,1
miserably,3
drives,3
succor,3
hearthstone,1
blankets,1
mortalities,1
direst,3
fly,12
hospitality,2
graze,3
shudder,6
fights,3
gainst,2
blow,26
homeward,7
landlessness,2
forlornly,1
peril,12
bitterest,4
glimpses,5
mortally,2
intrepid,4
independence,1
wildest,2
conspire,1
shoreless,2
perish,4
infinite,8
ingloriously,1
craven,4
agony,7
grimly,3
demigod,1
perishing,4
apotheosis,1
advocate,3
embarked,3
unpoetical,1
disreputable,1
anxiety,3
convince,1
injustice,3
hereby,9
accounted,9
level,24
liberal,3
professions,2
introduced,5
miscellaneous,4
metropolitan,3
advance,22
merits,1
emulation,1
naval,3
append,1
initials,1
w,1
f,2
visiting,3
card,3
procedure,5
pre,6
eminently,1
presuming,1
declines,2
honoring,1
amounts,1
butchering,1
therein,5
defilements,2
butchers,4
bloodiest,1
badge,3
martial,3
invariably,11
alleged,4
uncleanliness,1
initiated,1
facts,7
triumphantly,3
cleanliest,1
tidy,2
granting,4
slippery,6
comparable,1
carrion,2
soldiers,3
plaudits,1
enhances,2
conceit,13
soldier,1
profession,5
veteran,4
recoil,3
fanning,3
eddies,3
comprehensible,2
compared,8
interlinked,1
scouts,1
unwittingly,3
abounding,9
adoration,2
tapers,6
lamps,4
shrines,1
dutch,24
de,39
witt,1
admirals,3
fleets,3
louis,5
xvi,1
france,5
personal,4
expense,5
dunkirk,1
invite,1
families,2
britain,1
bounties,1
lastly,2
outnumber,1
banded,1
manned,13
yearly,1
consuming,3
importing,1
reaped,3
harvest,4
puissant,1
assert,4
cosmopolite,1
peaceful,5
operated,4
potentially,1
aggregate,3
begotten,1
remarkable,13
continuously,2
momentous,4
sequential,1
issues,1
egyptian,7
bore,16
offspring,1
womb,1
catalogue,1
pioneer,2
ferreting,1
archipelagoes,6
chart,7
vancouver,2
european,2
peacefully,1
ride,3
salutes,1
interpreted,1
celebrate,2
heroes,5
exploring,1
expeditions,1
cooks,2
krusensterns,1
anonymous,2
krusenstern,2
succourless,1
handedness,1
sharked,1
beaches,3
javelin,2
battled,1
marines,3
muskets,4
willingly,4
dared,4
commonplaces,2
heroic,2
adventures,5
dedicates,1
rounded,5
colonial,2
intercourse,1
europe,4
spanish,11
provinces,1
colonies,3
distinctly,8
eventuated,1
liberation,1
peru,4
chili,2
bolivia,2
yoke,3
establishment,1
democracy,3
sphere,2
australia,2
enlightened,4
blunder,2
discovery,11
dutchman,1
shunned,2
shores,6
pestiferously,1
colony,1
infancy,4
australian,1
settlement,1
emigrants,2
starvation,2
luckily,1
uncounted,3
polynesia,1
commercial,1
missionaries,1
destinations,1
hospitable,5
credit,3
due,6
threshold,4
declare,6
æsthetically,1
associations,5
shiver,6
unhorse,1
split,14
helmet,3
author,8
chronicler,2
_the,8
wrote,3
job,13
composed,3
alfred,1
norwegian,1
glowing,4
eulogy,1
edmund,1
burke,1
_no,2
grandmother,1
benjamin,2
franklin,1
mary,7
morrel,1
marriage,2
folger,1
settlers,1
ancestress,1
folgers,1
kith,2
kin,2
darting,14
_whaling,1
imperial,10
statutory,1
nominal,2
figured,3
imposing,4
triumphs,1
capital,3
conspicuous,7
cymballed,1
procession,3
grant,4
cite,1
dignity,20
attest,1
cetus,2
constellation,3
antiquity,5
walled,4
towns,5
possibility,4
undiscovered,2
prime,6
repute,1
hushed,2
unreasonably,2
hereafter,9
undone,2
executors,2
creditors,1
precious,18
mss,1
prospectively,1
ascribe,4
yale,2
college,3
harvard,2
postscript,1
behalf,1
substantiated,3
embattling,1
suppress,1
unreasonable,2
surmise,3
eloquently,1
blameworthy,1
queens,5
process,5
seasoning,1
functions,2
saltcellar,1
oiled,1
salad,1
anoint,2
machinery,1
essential,3
regal,4
meanly,1
contemptibly,1
anoints,1
palpably,1
anointing,2
mature,1
medicinally,1
quoggy,1
rule,6
totality,1
coronations,1
olive,3
macassar,1
train,5
liver,3
unmanufactured,3
unpolluted,1
sweetest,2
oils,1
loyal,1
britons,1
supply,7
knights,4
squires,2
descent,3
icy,7
adapted,4
endure,10
latitudes,15
baked,3
transported,5
bottled,2
ale,4
drought,3
famine,2
arid,2
summers,2
superfluousness,1
thinness,1
token,14
wasting,2
anxieties,1
cares,3
indication,2
blight,1
condensation,1
tight,5
inner,5
revivified,1
polar,12
torrid,2
patent,2
chronometer,1
vitality,8
warranted,1
lingering,8
images,2
fold,5
confronted,1
staid,2
steadfast,4
pantomime,1
action,9
tame,4
sobriety,1
fortitude,5
qualities,5
overbalance,1
endued,1
reverence,4
loneliness,1
incline,2
superstition,4
organizations,1
intelligence,7
portents,5
presentiments,1
welded,11
tend,5
ruggedness,1
latent,4
restrain,2
gush,6
evinced,21
vicissitudes,7
reliable,5
useful,5
courage,9
arises,1
utterly,12
crusader,1
sentiment,2
occasions,5
staple,2
outfits,2
lowering,18
persisting,2
persisted,2
critical,14
hundreds,8
deeps,4
torn,15
limbs,10
superstitiousness,2
reasonable,8
organized,1
experiences,5
remembrances,1
latently,1
engendering,2
suitable,1
confinement,2
bravery,2
abiding,2
firm,15
conflict,1
irrational,1
horrors,5
withstand,9
terrific,14
menace,1
enraged,6
reveal,4
abasement,1
sorrowful,1
shocking,3
expose,4
valour,1
detestable,2
nations,10
knaves,1
meagre,2
ideal,2
sparkling,9
ignominious,1
blemish,2
costliest,2
immaculate,3
manliness,1
intact,2
undraped,1
spectacle,7
valor,2
ruined,1
shameful,2
stifle,1
upbraidings,1
permitting,2
stars,13
treat,3
robed,1
investiture,2
shalt,3
wields,1
democratic,2
radiates,1
circumference,6
omnipresence,1
divine,8
equality,3
renegades,2
castaways,3
weave,2
tragic,4
graces,1
mournful,1
perchance,4
abased,2
exalted,3
mounts,4
workman,2
ethereal,1
rainbow,2
disastrous,3
critics,1
mantle,2
humanity,3
swart,5
convict,1
bunyan,1
pale,16
poetic,3
pearl,3
clothe,1
doubly,1
hammered,8
stumped,2
paupered,1
cervantes,1
andrew,1
jackson,1
pebbles,1
hurl,1
marchings,1
cullest,1
selectest,1
champions,1
kingly,1
commons,2
local,3
usage,12
happy,8
valiant,10
indifferent,11
crisis,3
toiling,4
journeyman,1
joiner,1
humored,1
presided,2
arrangement,3
driver,4
unpitying,2
handedly,1
whistling,2
tinker,3
hum,9
rigadig,1
tunes,1
flank,13
bestir,2
obeyed,2
unfearing,2
cheerily,4
trudging,1
pedlars,1
packs,1
impious,4
humor,10
bunk,1
row,17
pipes,7
loaded,13
rack,9
succession,4
lighting,4
loading,3
readiness,5
anew,5
disposition,2
terribly,1
infected,1
miseries,3
numberless,5
exhaling,1
cholera,2
camphorated,1
disinfecting,1
agent,8
tisbury,1
martha,4
ruddy,3
pugnacious,2
leviathans,17
personally,6
hereditarily,2
affronted,1
destroy,4
majestic,7
mystic,16
danger,7
encountering,6
species,30
magnified,2
rat,3
requiring,2
circumvention,1
application,5
boil,1
fearlessness,2
waggish,2
fun,6
lasted,2
nails,7
divided,10
wrought,6
similarly,2
likened,4
whalers,19
radiating,3
serves,1
brace,8
concussions,1
battering,6
prescription,1
headsmen,5
forces,3
descend,12
trio,1
lancers,1
flingers,1
javelins,2
headsman,10
gothic,3
knight,3
steerer,2
conjunctures,1
provides,2
assault,3
subsists,1
intimacy,1
friendliness,1
selected,3
squire,3
tashtego,56
unmixed,1
westerly,1
promontory,3
remnant,1
village,6
neighboring,4
generic,4
headers,2
sable,4
rounding,4
largeness,1
antarctic,5
proclaimed,1
inheritor,1
unvitiated,2
quest,10
moose,2
scoured,2
snuffing,3
trail,3
beasts,5
woodland,1
unerring,2
fitly,2
arrow,4
sires,2
tawny,4
lithe,2
snaky,2
credited,2
superstitions,5
earlier,5
puritans,1
believed,6
daggoo,37
coal,7
lion,8
tread,4
ahasuerus,2
golden,22
securing,8
halyards,3
voluntarily,1
heedful,6
retained,10
virtues,2
erect,14
giraffe,1
pomp,1
socks,4
corporeal,4
beg,3
truce,1
fortress,2
chess,1
residue,1
americans,6
herein,4
army,2
military,6
navies,5
engineering,1
construction,1
canals,2
railroads,1
liberally,1
brains,8
generously,1
supplying,2
azores,3
augment,4
peasants,1
rocky,5
greenland,34
london,11
shetland,1
homewards,2
islanders,5
_isolatoes_,1
acknowledging,1
continent,4
_isolato_,1
federated,1
isolatoes,1
anacharsis,1
clootz,1
deputation,1
accompanying,5
grievances,1
pip,74
alabama,6
tambourine,11
prelusive,1
bid,7
hero,3
peremptory,2
vicariously,1
supreme,4
penetrate,3
retreat,5
ascended,5
disquietude,1
perturbation,1
heightened,6
diabolical,2
incoherences,1
uninvitedly,1
recurring,2
subtle,11
conceived,3
poorly,1
moods,5
whimsicalities,1
apprehensiveness,4
uneasiness,2
warrantry,1
emotions,6
motley,1
ascribed,5
rightly,2
fierce,10
uniqueness,1
abandonedly,1
forcibly,3
calculated,7
allay,1
colourless,2
cheerfulness,1
presentment,1
likely,2
readily,13
vineyarder,2
biting,4
southward,1
minute,17
latitude,13
merciless,1
gloomy,5
mornings,1
rapidity,1
forenoon,3
taffrail,8
foreboding,3
shivers,1
outran,1
illness,1
recovery,3
stake,2
overrunningly,1
particle,3
compacted,2
solid,17
bronze,2
unalterable,4
mould,6
cellini,1
perseus,11
threading,2
hairs,5
continuing,3
scorched,6
slender,6
lividly,1
whitish,2
resembled,3
seam,3
tearingly,1
wrenching,3
twig,3
peels,2
grooves,4
bark,3
soil,10
greenly,1
branded,4
scar,4
tacit,2
consent,1
throughout,10
allusion,5
senior,2
superstitiously,2
fury,9
fray,1
elemental,1
strife,2
inferentially,1
negatived,1
manxman,12
insinuated,1
traditions,8
credulities,1
popularly,8
preternatural,5
contradicted,1
tranquilly,5
office,9
sole,9
powerfully,1
affect,4
livid,2
brand,2
streaked,2
noted,3
overbearing,4
grimness,2
dismasted,5
quiver,3
posture,5
mizzen,4
shrouds,7
auger,2
bored,2
steadied,1
elevated,11
pitching,6
infinity,1
firmest,1
determinate,3
unsurrenderable,1
wilfulness,1
dedication,1
gestures,4
expressions,2
painful,2
crucifixion,1
pivot,7
recluse,1
bleakness,1
secluded,2
continually,17
perceptibly,2
cruising,27
preparatives,1
needing,1
supervision,1
employ,1
excite,2
layer,8
loftiest,4
peaks,3
warbling,1
persuasiveness,1
holiday,2
mood,10
cheeked,3
dancing,8
april,3
misanthropic,2
woods,10
barest,1
ruggedest,1
cloven,2
oak,5
sprouts,1
glad,12
visitants,1
respond,1
playful,3
allurings,1
girlish,1
blossom,1
flowered,1
elapsed,4
icebergs,3
quito,3
perpetually,1
reigns,2
warmly,1
ringing,4
perfumed,1
overflowing,2
redundant,2
persian,6
sherbet,1
heaped,2
flaked,1
starred,1
haughty,5
dames,2
jewelled,3
velvets,2
nursing,3
pride,8
conquering,1
earls,1
helmeted,3
suns,3
winsome,2
seducing,1
witcheries,1
unwaning,3
lend,1
spells,1
potencies,1
crystals,2
noiseless,7
twilights,1
agencies,4
texture,1
linked,4
greybeards,1
oftenest,1
berths,1
cloaked,1
mutter,3
dug,3
band,7
sentinelled,1
slumbers,3
cautiousness,2
disturbing,2
slumbering,3
quietude,4
habitually,1
steersman,7
emerge,3
gripping,1
banister,1
crippled,3
abstained,1
patrolling,1
wearied,3
repose,11
heel,8
reverberating,1
crack,10
din,4
crunching,1
sharks,50
regardings,1
lumber,3
pace,7
measuring,2
mainmast,11
unassured,1
deprecating,1
humorousness,2
muffling,1
indistinctly,1
hesitatingly,1
tow,15
insertion,3
cannon,6
wouldst,3
wad,4
forgot,3
nightly,1
kennel,1
unforseen,1
scornful,3
speechless,6
excitedly,1
gritted,2
violently,9
avoid,5
passionate,3
temptation,1
emboldened,2
tamely,2
donkey,2
mule,3
ass,2
begone,4
advanced,11
pray,7
_did_,2
flashed,3
powder,9
anyway,1
cracks,5
dough,17
rumpled,2
coverlid,1
brick,4
tic,1
dolly,1
toothache,2
riddles,2
tells,8
appointments,1
snooze,1
damn,9
babies,3
principles,4
eleventh,1
commandment,1
twelfth,1
blazes,1
jackasses,1
_that,4
kicked,9
maybe,3
aback,2
afoul,1
plaguey,1
juggling,3
binnacle,16
planting,4
norse,1
thrones,1
danish,3
fabricated,1
saith,4
tradition,1
narwhale,9
tripod,1
royalty,3
symbolized,1
khan,1
soliloquized,4
tube,6
soothes,1
pleasuring,1
ignorantly,4
whiffs,1
jets,11
strongest,5
fullest,4
sereneness,1
vapors,4
locks,6
hissed,5
bubble,6
sinking,13
lurchingly,1
queen,16
mab,1
dreamed,3
presto,2
pyramid,7
kicking,5
cane,5
stubbing,1
silly,4
toes,6
confoundedly,1
contradictory,3
cudgelling,1
whaleboning,1
farmer,1
_there,2
devilish,8
whittled,1
badger,1
haired,4
merman,2
slews,1
bout,2
phiz,1
fright,7
humpback,1
seaweed,1
marlinspikes,1
muttering,4
eating,12
gums,2
hag,1
lifted,17
halloa,10
complain,1
lords,3
slapped,1
garter,1
_your_,1
boast,2
_be_,1
kicks,2
honors,2
swim,19
snored,1
tho,1
shouts,2
hark,16
hereabouts,6
mum,1
cetology,9
launched,6
unshored,2
harbourless,1
immensities,2
weedy,3
barnacled,3
thorough,3
appreciative,1
leviathanic,8
revelations,2
allusions,6
systematized,1
exhibition,2
genera,1
classification,4
constituents,1
essayed,1
authorities,5
branch,3
zoology,2
scoresby,9
method,3
cetacea,3
groups,1
confusion,3
historians,2
animal,11
beale,6
unfitness,1
pursue,2
research,4
unfathomable,3
impenetrable,3
veil,7
covering,6
field,12
strewn,2
thorns,2
incomplete,1
indications,3
serve,6
torture,1
